address,weight
0x000ab07b26c48EF3Caf9ec23520D86794c9fd74a,126.0
0x000d4ac6F68Ac9B9fEcA2F39e65d1b2fd3b38af9,1.0
0x000dbF2733Da51135c1b21C8EF71a3d474383F0D,1.0
0x000f4432a40560bBFf1b581a8b7AdEd8dab80026,125.0
0x000f9987b3352802ad6934402Da1a215B1eCEf13,1.0
0x001079C03C7e5dB8a3FEE5A5580aE9A8D0e40ddf,1.0
0x0010F4919eFb4D8950280e0f84C58de064fF99b9,1.0
0x00118f8b05f8ce5fD0950979FCDA2079D9200Eab,1.0
0x0013f9936C1d20D040b2Ce084B0524BEF57291f0,1.0
0x001410235F1F3B2810D9a82b9064a09Ae7eDCd87,125.0
0x00164dbbca385B5DAd2094E31b5Aa655bE0c6A85,1.0
0x0017f7aDF1B404298efA3015cA0b56961fEa4c34,1.0
0x0018412692CC84F223196DfC756aB184B44758D9,126.0
0x0018EA4baB28d0737A77164D2331790C49cE0734,1.0
0x0019791E6A84c346E52e01650704E36c7fC2FaF4,1.0
0x0019dC329AD4daC74b1051508bC1fc7Dc801629b,1.0
0x0019f11c54a9C3A9A4a8e83020C5dD4b384DA211,1.0
0x001AA5e315C6b476708a5d2c7594DC2fD2049647,1.0
0x001Cc1239e2CD8e4974670B86295BB07ab84f07a,1.0
0x001D7BF4e6A1e6107b4b6222aC5BBF60Db0B432D,1.0
0x001Df3Aa1901d418F8FD1592016fB0A4Fa276c05,50.0
0x001ac3B194AafEFAa46c17268265503C8a72C8cB,1.0
0x001ac3F0972b620cD6bE82BA54D111614d7D48fB,1.0
0x001b1d25304C9f386B84720EF19Ea9caA8253Ff0,1.0
0x001be549fa377710B9e59d57bbdf593CE1e379ca,1.0
0x001c3b137C68F592952B82786096148390E9030d,1.0
0x001f96b7e19a54ae45F451B0148336504D03fDcf,1.0
0x002034409Aa3B3bE021DA568aE55DB65D872456a,1.0
0x0020952283aFADE116709bE9b08A9F0fe6225462,125.0
0x00217b57F30d24bDdAaB9130D6A13F9D67336b07,1.0
0x0022876eb2A456373cfF67f45A8433474011A220,1.0
0x0023ED9F3dD137EE4A011933740fF9C3A000fbA2,1.0
0x002485D206babA779641164E97cac8AAd66D143D,1.0
0x002525a77d262DD11ec63c9146a821b11564CE29,100.0
0x0025500c6A6bcAeBDe159DB6A307f4d38503A079,25.0
0x0025befed0d57A11dB1dC26A80e651Bb38C97027,1.0
0x002841301d1AB971D8acB3509Aa2891e3ef9D7E1,1.0
0x0028C4EFc5f5bd61b7Cad5d05e6BBc7a26598978,1.0
0x00290ffc9e9D19bdA7b25c6e44d8ADF55DFBf2dD,125.0
0x002D14B5b20a85d72dFEddBBC408EdA7a2e88eBa,1.0
0x002Eed47A8fD7e37918ea838cD92cF86281a65B6,1.0
0x002b9ed3BB38160E3A2E7C0dBC4DDBA9d9653722,1.0
0x002c44e23E693b8BCd5C0e7dCd20114e85A3d89D,1.0
0x002e7ADAf6495f2DD277b3b8b105db530dF37aB9,1.0
0x002eE33092457900515A4249e3eC1Cd2B2Dc8C32,201.0
0x002fAbc95252AA7C70112dFD86c8FfC6510f2Ced,1.0
0x002fEBA84e432b121511A45a62f682691Df9A467,75.0
0x00317Ed1b5f21e29Ae1F77bc47A6a699ce12E003,1.0
0x00323092DB739c1384b03b3b3a18b7d3c5E68989,1.0
0x0032AB21919475617c90c3cAa0143Dcf8794b80A,1.0
0x0034daf2e65F6ef82Bc6F893dbBfd7c232a0e59C,1.0
0x0035Fc5208eF989c28d47e552E92b0C507D2B318,1.0
0x0035b31f1a5AB61F3A9b8C17Fa83CFB5E87e4eb2,1.0
0x0036534C48a754163F0f446601f36BCfdA840f57,1.0
0x00368C4DFDF3383278C3844d26Ee586604152779,1.0
0x0036a6A246b7985cCae46599bF6DF7555AEb3330,1.0
0x003909399a345Ce03fD6f9b94D5EbD0538E56Cff,1.0
0x00390C997b6e23eaF33BE96b5AA20a22C9681acB,1.0
0x00396b4ca09532B718c8b9e6e2c535DA388780e0,1.0
